HG00096	HG00103	HG00106	HG00111	HG00116	HG00126	HG00132	HG00149	HG00150	HG00176	geneID
0	0	0	0	0	0	0	0	0	0	ENSG00000211590.1
0	0	0	0	0	0	0	0	0	0	ENSG00000212136.1
0	0	0	0	0	0	0	0	0	0	ENSG00000212479.1
0	0	0	0	0	0	0	0	0	0	ENSG00000212564.1
0	0	0	0	0	0	0	0	0	0	ENSG00000212609.1
25	16	25	42	42	13	30	21	22	20	ENSG00000212932.3_2
0	0	0	0	0	0	0	0	0	0	ENSG00000212933.1_3
0	0	0	0	0	0	0	0	0	0	ENSG00000212935.1_3
0	0	0	0	0	0	0	0	0	0	ENSG00000212938.3_2
0	0	0	0	0	0	0	0	0	0	ENSG00000213440.2_4
0	0	0	0	0	0	0	0	0	0	ENSG00000213885.3_4
0	1	0	0	0	0	0	1	0	0	ENSG00000214319.2_4
1	1	1	2	1	2	0	1	0	0	ENSG00000214326.2_2
0	0	0	0	0	0	0	0	0	0	ENSG00000214867.3_4
0	0	0	0	0	0	0	0	0	0	ENSG00000214889.3_2
12	25	23	19	18	7	25	9	27	16	ENSG00000214914.3_2
0	0	0	0	0	0	0	0	0	0	ENSG00000214955.5_6
0	0	0	0	0	0	0	0	0	0	ENSG00000214976.2_4
46	50	107	134	110	85	215	54	168	68	ENSG00000215005.2_4
0	0	0	0	0	0	0	0	0	0	ENSG00000215088.3_4
0	0	0	0	0	0	0	0	0	0	ENSG00000215317.2_4
57	29	36	36	15	47	8	68	35	16	ENSG00000215326.3_4
0	0	0	0	0	0	1	0	0	0	ENSG00000215351.3_4
0	0	0	0	0	0	0	0	0	0	ENSG00000215353.2_4
0	0	0	0	0	0	0	0	0	0	ENSG00000215369.3_2
0	0	0	0	0	0	0	0	0	0	ENSG00000215386.12_4
530	689	623	901	509	599	770	518	655	527	ENSG00000215424.9_6
0	0	0	0	0	0	0	0	0	0	ENSG00000215454.6_3
0	0	0	0	0	0	0	0	0	0	ENSG00000215455.4_3
31	18	30	13	2	19	2	18	4	25	ENSG00000215458.8_5
0	0	0	0	0	0	0	0	1	0	ENSG00000215533.8_3
0	0	0	0	0	0	0	0	0	0	ENSG00000215559.8_4
0	0	0	0	0	0	0	0	0	0	ENSG00000215562.2_4
0	0	0	0	0	0	0	0	0	0	ENSG00000215734.3_2
0	0	0	0	0	0	0	0	0	0	ENSG00000216197.1
448	639	645	605	801	341	717	659	516	373	ENSG00000217026.3_2
0	0	0	0	0	0	0	0	0	0	ENSG00000218125.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000218549.2_3
0	0	0	0	0	0	0	0	0	0	ENSG00000219280.1_2
0	0	0	0	0	0	0	0	0	0	ENSG00000219368.3_2
0	0	0	0	0	0	0	0	0	0	ENSG00000219592.2_4
0	0	0	0	0	0	0	0	0	0	ENSG00000221041.2
0	0	0	0	0	0	0	0	0	0	ENSG00000221210.1
0	0	0	0	0	0	0	0	0	0	ENSG00000221335.1
0	0	0	0	0	0	0	0	0	0	ENSG00000221396.2
0	0	0	0	0	0	0	0	0	0	ENSG00000221398.1
0	0	0	0	0	0	0	0	0	0	ENSG00000221497.1
0	0	0	0	0	0	0	0	0	0	ENSG00000221837.5_3
0	0	0	0	0	0	0	0	0	0	ENSG00000221859.2_2
0	0	0	0	0	0	0	0	0	0	ENSG00000221864.4_3
3	6	1	2	5	4	8	12	6	5	ENSG00000222018.1_3
7	9	4	8	3	9	2	1	2	7	ENSG00000222042.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000223078.1
0	0	0	0	0	0	0	0	0	0	ENSG00000223262.1
0	0	0	0	0	0	0	0	0	0	ENSG00000223287.1
0	0	0	0	0	0	0	0	0	0	ENSG00000223400.1_2
0	0	0	0	0	0	0	0	0	0	ENSG00000223431.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000223488.2_3
0	0	0	0	0	0	0	0	0	0	ENSG00000223563.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000223608.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000223662.1_5
0	0	0	0	1	0	0	0	1	0	ENSG00000223671.2_2
0	0	0	0	0	0	0	0	0	0	ENSG00000223692.1_5
10	13	18	8	14	17	8	4	10	9	ENSG00000223741.1_4
148	102	142	185	105	162	161	166	135	116	ENSG00000223768.2_3
833	836	649	1019	986	797	1254	742	1124	883	ENSG00000223799.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000223806.7_4
0	0	0	0	0	0	0	0	0	0	ENSG00000223822.2_4
0	0	0	0	0	0	0	0	0	0	ENSG00000223870.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000223901.2_5
0	0	0	0	0	0	0	0	0	0	ENSG00000223975.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000224018.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000224100.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000224141.5_4
0	0	0	0	0	0	0	0	0	0	ENSG00000224247.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000224269.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000224309.7_2
0	0	0	0	0	0	0	0	0	0	ENSG00000224388.1_6
0	0	0	0	0	0	0	0	0	0	ENSG00000224413.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000224421.1_3
4	1	2	5	1	2	8	4	1	1	ENSG00000224427.1_2
0	0	0	0	0	0	0	0	0	0	ENSG00000224524.1_2
0	0	0	0	0	0	0	0	0	0	ENSG00000224541.1_6
0	0	0	0	0	0	0	0	0	0	ENSG00000224574.1_5
11	8	12	12	20	8	14	11	9	5	ENSG00000224598.1_2
0	0	0	0	0	0	0	0	0	0	ENSG00000224602.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000224649.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000224747.1_4
1	2	6	3	1	4	4	10	7	1	ENSG00000224790.2_6
0	0	0	0	0	0	0	0	0	0	ENSG00000224832.2_4
0	0	0	0	0	0	0	0	0	0	ENSG00000224860.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000224905.6_6
0	0	0	0	0	0	0	0	0	0	ENSG00000224922.1_5
0	0	0	0	0	0	0	0	0	0	ENSG00000224924.6_4
0	0	0	0	0	0	0	0	0	0	ENSG00000225043.1_4
0	0	0	0	0	0	0	0	0	0	ENSG00000225218.1_5
