sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	protein_ID
9608	15386	0	55306	152274	0	10100	7054	19253	3367	14783	104079	71841	159437	21987	0	106790	0	44697	30628	21947	0	0	0	169163	29158	0	9123	39744	7197	9813	26499	37268	104641	59313	0	10648	25299	143370	5106	10722	86856	84661	7526	12385	7885	45542	0	17862	16458	25263	38048	4618	0	71558	15940	42659	101874	10321	102332	29776	55419	78784	0	protein_42
21679873	30105027	11556005	19863032	16614104	11053082	20738965	11692152	12913966	31691945	18851981	17381093	19948025	13358006	17417941	11605119	14765948	11845156	19283018	13645906	11640907	9946606	9717279	11069056	24383021	25328908	10847047	14251948	28259900	18535091	23663118	22749989	27143132	30003997	14705100	6476224	26118917	9654506	15305990	24858962	4059379	14347928	15987025	6562655	25928110	4351012	11918761	10823997	9317338	20548176	13165023	13510083	14120103	6664627	32730941	9136792	14365793	9848239	6611763	15007910	19684875	8203022	32272173	6740578	protein_43
48952033	57711953	36210980	85041825	15574820	16007226	46465008	5906931	23513011	22402937	29983107	60378979	74677932	15502002	38680965	11655987	14551842	17132036	47503042	44848108	31236932	37003881	30580870	15506022	104050017	26707113	34334025	8545040	77953910	18613117	55341840	24012950	53871054	47956781	23800047	13226701	16353916	20388968	56875943	14809020	10647020	34884983	24204140	15928015	43955021	16234861	8086349	36289929	19576187	28664101	29939119	46182020	8879172	19478943	55506119	22535945	32191926	25610979	16274044	20674957	20240888	14863003	81990984	15263023	protein_44
208705	135362	151876	218191	456369	405476	275056	14101	409534	408701	525438	194750	570246	415862	526729	354925	295778	375972	192319	13219	818877	184239	115250	415445	407492	245969	116711	127753	267943	227887	307164	251995	550561	539312	848687	377449	122915	235928	14580	121677	125209	674143	576659	74126	378746	125668	189543	163564	239881	199070	682386	9787	50247	317851	311008	209414	501567	151263	140739	521744	236013	263743	297926	353065	protein_45
438686	477122	240963	180888	93395	358886	618206	126593	331967	318847	66497	285442	405298	71274	77105	288204	138644	222094	221917	287391	367715	280292	343335	264579	339050	718632	411769	545785	593551	223421	652292	644359	339849	1160447	301528	318880	246757	176909	277735	183290	135148	250431	358346	255621	1048600	321431	0	411487	334311	543647	90597	238483	46942	698364	711778	190479	125557	274225	234485	234066	169938	185747	946248	322076	protein_46
2050423	2754573	5484795	1255535	547654	271605	3319597	1804903	1140479	5498434	7694030	615036	985285	1413054	6697419	199149	516241	465293	1313074	3201506	1537942	5137526	4575048	444899	1188854	6957947	5226374	792538	2435998	3186446	4091301	6645072	2282683	6194952	2109503	0	2412433	539432	5139909	2149830	83858	1376338	1955542	64959	5378418	106255	1824224	4459740	665709	6341190	1247752	4467039	1062702	0	4116871	705008	1024242	2489775	74690	2310105	3589398	608418	3246829	0	protein_47
10299033	10891902	11689995	24703997	28124929	176340	14485030	1625354	3575229	2123952	7949046	13889927	16369281	2163156	5100199	135638	31149012	73914	8784027	9091098	3958881	13973949	10605749	117130	19038916	11230931	9730413	41655105	11186068	1654254	16985990	7798925	10082049	14023124	3658909	147643	5592838	2477041	11059074	4172781	1576685	3948318	3029851	1335158	12129088	1446462	10540133	8013173	2032324	8045708	4012808	8046548	2592154	264910	13451058	1858558	3851347	783986	1526355	3358686	1889137	1948338	12568878	243097	protein_48
9611948	10134957	7695066	22120813	8754504	4759077	10061743	4478645	10036174	11229999	6551478	17639905	21195165	8769498	7053382	4796372	7051253	4920003	7186318	6274987	10550872	7470320	6799985	4790377	26267170	9556751	6932429	5230918	14009938	6867325	12282943	9357348	11690945	12962921	10933173	4353401	7292585	6260485	6944491	7247601	4431807	9839740	12175971	5672096	12813142	5422325	5902222	7779076	6810840	8463716	10847868	6429801	2914817	5695449	14852802	3840799	10458101	4996199	6041333	9870675	6433875	5217655	13428857	4754335	protein_49
54512	619576	498815	211808	25361	392297	27702	20283	125536	349821	126088	184914	191457	155816	128385	285502	34575	417997	728513	717907	233905	405957	386841	455617	364421	46775	553657	51706	1013307	227228	24445	54557	869578	81938	160825	136073	0	247697	792382	0	429440	183606	159248	653278	53114	451338	81238	510828	377581	90718	96306	810698	0	229389	79342	257221	82702	201752	741803	166345	300012	348123	1113249	162187	protein_50
298646	199542	255239	353833	190594	123434	428607	19495	125786	33611	232346	276037	339819	122546	240935	135538	184554	140829	127224	674532	182020	217571	201685	157548	444166	175539	254887	92396	238484	10699	517326	178069	210421	244049	119114	382027	248004	219718	931462	251448	109892	184663	101378	149560	224641	108218	206524	264666	281439	180157	159112	816105	117782	413286	648298	195799	140028	23323	207894	130723	18207	261559	266622	495524	protein_51
1141236	4361153	5584944	3424200	4273025	2122795	1304626	725462	3253879	2394168	6344898	3134833	3690551	1995957	4979673	1731093	4185541	2198751	2668288	4535246	2400245	5940329	5042863	2169419	4366079	2207544	6368149	1130020	4895047	2699723	1644369	2195101	4160024	9078176	1606655	610072	5198512	1962056	5318733	4315185	1159524	3687743	1802762	2555731	6880379	1258673	1427531	6158196	2246380	1650091	2843912	4110646	3854199	772449	2057090	2074208	3234033	1349928	3204201	1662486	4236259	1588094	5801045	804946	protein_52
29676018	113680124	23189941	48014926	44672154	23594857	57733880	28017972	68470969	79017006	88098973	26202010	29828943	122759967	95938887	25616024	31817912	25809914	48158858	26670091	49001982	21993012	16963003	18037233	69517029	61377918	20981119	33398981	80114105	50994032	71713984	86674964	74108064	251599964	43262834	14083915	154199949	37098754	27019043	107529979	22206996	69283883	98181964	14407008	76573792	10042031	30970856	16104916	25343010	70454058	65732984	23745952	62466065	7145222	98856954	10797005	59425040	7152022	33885988	87119987	70431053	31809169	72184024	9255049	protein_53
2167496	2415458	2030389	2874539	1677372	1422572	3131908	1262038	1598757	1878072	1027901	1754674	3792644	1580378	1495130	920843	1878947	1279929	1597178	1312228	2019963	2433029	2087729	1533602	3287029	1230973	2329126	1355761	3090611	1505976	3561531	1368712	4576546	1789540	2856405	610570	1964103	1613061	1313192	2066937	611513	1871309	2767411	777229	1857070	866480	3499301	1482545	1823844	1158920	2097037	1328198	852033	962114	4011085	1473844	1520059	1019463	851148	2745181	1466808	1325915	4504312	791187	protein_54
